Class,Definition,Code,is subject of (requirement),Applicable Activity,Summary of Deficiency Tony Noticed,Requirement Applicability Reviewed,Related to Asset Class (Related to Asset Class (Parent Class Name)),Related to Asset Class (Parent Class Name)
hoist,,,,,,No,https://www.notion.so/lifting-equipment-part-5d25af8fa68b46c6879784429cd746dd,
sling,,,,,,No,https://www.notion.so/lifting-equipment-part-5d25af8fa68b46c6879784429cd746dd,"https://www.notion.so/wire-rope-sling-77c5233ab77743378ce0b629bfb2ea27, https://www.notion.so/wire-mesh-sling-f8ddec4643a9403f93c5209d6874a4ed, https://www.notion.so/web-sling-18eee6561af54394a626fe98b74b1d6e, https://www.notion.so/chain-sling-955b89ab1b20474f97408041a9afa7f3"
chain sling,,,"https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9, https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-41be326b2a734ca4abc7497f339890be",,,No,https://www.notion.so/sling-602f9138b2d84c3b9d0054fb164fe852,
web sling,,,"https://www.notion.so/AMSE-B30-9-2018-Section-9-5-9-5-154709a8cf0848ae8c16a19844f9424b, https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9, https://www.notion.so/ASME-B30-10-Section-69f40561c3fc43628e146cb6e02c786c, https://www.notion.so/ASME-B30-26-Section-e312fa1e5c334fb18975a1c3c2d8f608",,,No,https://www.notion.so/sling-602f9138b2d84c3b9d0054fb164fe852,
wire mesh sling,,,"https://www.notion.so/ASME-B30-9-2018-Section-9-3-9-5-f4fbb7f1912a4205a5950164bdaa2bf8, https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9",,,No,https://www.notion.so/sling-602f9138b2d84c3b9d0054fb164fe852,
wire rope sling,,,"https://www.notion.so/Section-ed4c1d5af3bf423b92c3935fd9e38323, https://www.notion.so/OSHA-1910-184-Section-1910-184-f-5-1557585308f3439897ab388e2facddab, https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-I-e0e3d7703893420ebaee5704dbf49d3b, https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9",,,No,https://www.notion.so/sling-602f9138b2d84c3b9d0054fb164fe852,
portable equipment or tool,,,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,"https://www.notion.so/pressurized-gas-cylinders-aa530d153e5c4811bb9e4c6b3c4b5663, https://www.notion.so/ladder-4f7f8bace8744d0f88601eed4b91b777, https://www.notion.so/diving-equipment-f6cc287d470c42799fda5f1ca965cc1a"
diving equipment,,,,,,No,https://www.notion.so/portable-equipment-or-tool-572410de200b49eb8aa1b4fe7591b4f2,"https://www.notion.so/scuba-cylinder-18d132097ab04a8dbafdf237646230bc, https://www.notion.so/scuba-assembly-5bcf1828b8f2498b9b82a35cd91a91e9"
scuba assembly,,,,,,No,https://www.notion.so/diving-equipment-f6cc287d470c42799fda5f1ca965cc1a,
scuba cylinder,,,,,,No,https://www.notion.so/diving-equipment-f6cc287d470c42799fda5f1ca965cc1a,
ladder,,LDR,,,,No,https://www.notion.so/portable-equipment-or-tool-572410de200b49eb8aa1b4fe7591b4f2,"https://www.notion.so/scaffold-4961170b77b24110a3655ba7386b04c4, https://www.notion.so/portable-ladder-79fddffa402d41d1aee6c4e68bce3341, https://www.notion.so/fixed-ladder-20fd58dbecb7487ba70b8c577d3be64a"
fixed ladder,,,https://www.notion.so/ANSI-ASC-A14-3-2008-R2018-Ladders-Fixed-Safety-Requirements-6413b173a21e42bd966b802a0bc4ff59,,,No,https://www.notion.so/ladder-4f7f8bace8744d0f88601eed4b91b777,
portable ladder,,,https://www.notion.so/Ontario-Regulation-851-90-Section-73-c393d513f9444288a7848b15cfd1b930,,,No,https://www.notion.so/ladder-4f7f8bace8744d0f88601eed4b91b777,
scaffold,,,"https://www.notion.so/Ontario-Regulation-213-91-Section-132-1-27afcf1edd124265b010b8edac9cc2d0, https://www.notion.so/CSA-Z797-18-Section-8-2-9781fa977f234e458b0c481d3b218514, https://www.notion.so/CSA-Z797-18-Section-8-3-b1d96ed5903244f09f7ac468c08bd6c3, https://www.notion.so/CSA-Z797-18-Section-8-4-9e69687eb1b245fdb29d9693b4aec2ec, https://www.notion.so/CSA-Z797-18-Section-8-6-699f11300e074ab29566faaf51f4f572",,,No,https://www.notion.so/ladder-4f7f8bace8744d0f88601eed4b91b777,
pressurized gas cylinders,,,,,,No,https://www.notion.so/portable-equipment-or-tool-572410de200b49eb8aa1b4fe7591b4f2,
safety equipment,,,,,,No,https://www.notion.so/equipment-d39a00ef8e4c4761bc381d682c15832f,"https://www.notion.so/safety-incident-response-equipment-408d09955bf3425ca5229ca228664ecd, https://www.notion.so/protective-equipment-a1209caa6cc548a28e5881261665623c, https://www.notion.so/gas-detection-equipment-ace9233ca1f54bc1a1c053179cc3c312, https://www.notion.so/electrical-hazard-detection-equipment-0e38bc41a2fc489ca5f851e9f9b29b47"
electrical hazard detection equipment,,,,,,No,https://www.notion.so/safety-equipment-61fbc855887440bfb0b87ca52ed0a865,"https://www.notion.so/voltage-tester-cc2bae9328b44d2a9147d378d54faea3, https://www.notion.so/hot-stick-43bb27f6025e4f0baed816146c2a202b"
hot stick,,,,,,No,https://www.notion.so/electrical-hazard-detection-equipment-0e38bc41a2fc489ca5f851e9f9b29b47,
voltage tester,,,,,,No,https://www.notion.so/electrical-hazard-detection-equipment-0e38bc41a2fc489ca5f851e9f9b29b47,https://www.notion.so/mobile-voltage-tester-ff46c5ce5bf64c71af4ea2fcde84b01f
mobile voltage tester,,,,,,No,https://www.notion.so/voltage-tester-cc2bae9328b44d2a9147d378d54faea3,
emergency eyewash or shower,,,,,,No,https://www.notion.so/safety-incident-response-equipment-408d09955bf3425ca5229ca228664ecd,"https://www.notion.so/self-contained-emergency-eyewash-or-shower-equipment-COMPLETE-DEF-Class-emergency-eyewash-or-sho-723948b08a1340bba89ae5bad289382c, https://www.notion.so/plumbed-emergency-eyewash-or-shower-equipment-COMPLETE-DEF-Class-emergency-eyewash-or-shower-eq-cfe435427a4b464797d2b0567d6c0886, https://www.notion.so/emergency-eye-face-wash-5229eb60063342198514d809f0553bd4, https://www.notion.so/emergency-shower-ed1c6324be044650afcf6dab73e8bc36, https://www.notion.so/combinational-emergency-wash-unit-9267e99ce6a748ff8713a7d29208fe9b, https://www.notion.so/drench-hose-b7ea5022d3e74e44942ef2fc548c64b6, https://www.notion.so/personal-wash-55454bfae9fd487ea8e5d962cb58b2b6"
combinational emergency wash unit,An interconnected assembly of emergency equipment supplied by a single source of flushing fluid. (ANSI),,,,,No,https://www.notion.so/emergency-eyewash-or-shower-900b1d59ec3249ebbe6e3633349a1d24,
emergency eye/face wash,"1) A device used to provide fluid to irrigate and flush the eyes.
2) A device used to provide fluid to irrigate and flush both the face and the eyes simultaneously. (ANSI)",,,,,No,https://www.notion.so/emergency-eyewash-or-shower-900b1d59ec3249ebbe6e3633349a1d24,
emergency shower,A device specifically designed and intended to deliver flushing fluid in sufficient volume to cause that fluid to cascade over the entire body. (ANSI),,,,,No,https://www.notion.so/emergency-eyewash-or-shower-900b1d59ec3249ebbe6e3633349a1d24,
fall protection equipment,,,"https://www.notion.so/CSA-Z259-17-16-Section-12-3-14d6f815a6cd460ea846f777636288d0, https://www.notion.so/CSA-Z259-17-16-Section-12-7-0907b7f59e3e4ccaa1dff3b06c237ccf, https://www.notion.so/CSA-Z259-17-16-Section-Table-6-dc0b233501bf4e0b83d1ed23d45886c4, https://www.notion.so/CSA-Z259-17-16-Section-Table-5-08b86a4d13da42c89a4250e960a57e27",,,No,https://www.notion.so/protective-equipment-a1209caa6cc548a28e5881261665623c,"https://www.notion.so/tripod-frame-6e10912f4fc04e6a83364a5036eb023a, https://www.notion.so/travel-restraint-system-4e219f01e83d4268ad9a31818332e09a, https://www.notion.so/lifeline-e52d31d04e0a482fa9abd0cf3dc27551, https://www.notion.so/lanyard-f9d99c62512f439a8b880539152dfff7, https://www.notion.so/fall-restricting-system-b6b38579ad7a4d10ad0653bccd57ce16, https://www.notion.so/fall-arrest-harness-e9ecea6e400843ba9e874bff9378b22f, https://www.notion.so/davit-arm-4ecbe011b1f544799cf962b1674782a8, https://www.notion.so/anchorage-connector-855c813be5674437ade72f98b4c50d02"
anchorage connector,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
davit arm,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
fall arrest harness,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
fall restricting system,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
lanyard,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
lifeline,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,"https://www.notion.so/vertical-lifeline-ac3fd2e6499d4797954dc714a796c3bc, https://www.notion.so/self-retracting-SRL-c319721ea78042788fb746723e66e038, https://www.notion.so/horizontal-lifeline-7b621b38a6f54aff9c0afc513b442438"
horizontal lifeline,,,,,,No,https://www.notion.so/lifeline-e52d31d04e0a482fa9abd0cf3dc27551,
self-retracting (SRL),,,,,,No,https://www.notion.so/lifeline-e52d31d04e0a482fa9abd0cf3dc27551,
vertical lifeline,,,,,,No,https://www.notion.so/lifeline-e52d31d04e0a482fa9abd0cf3dc27551,
travel restraint system,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
tripod frame,,,,,,No,https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e,
gas detection equipment,,,,,,No,https://www.notion.so/safety-equipment-61fbc855887440bfb0b87ca52ed0a865,"https://www.notion.so/personal-gas-meter-1df8bfffdf0a4f02a052ed8cd5b63191, https://www.notion.so/fixed-gas-detector-f9e2027f0e0342e784b0229cc5e5e5b1"
fixed gas detector,,,https://www.notion.so/fixed-gas-detector-Section-b44dcd3735a3424cb4bb33e7d0880c5c,,,No,https://www.notion.so/gas-detection-equipment-ace9233ca1f54bc1a1c053179cc3c312,
personal gas meter,,,"https://www.notion.so/Ontario-Regulation-632-05-Section-18-2a667c7563204f3cb201df17cf8fe586, https://www.notion.so/Section-Personal-Gas-Meter-51c5a213c2084718bf72e534dd0c467f, https://www.notion.so/I-DS-Health-Safety-SP-10-2019-Section-03e31e90515d4fd5a2cfa4241ccd6b62",,,No,https://www.notion.so/gas-detection-equipment-ace9233ca1f54bc1a1c053179cc3c312,
protective equipment,,,,,,No,https://www.notion.so/safety-equipment-61fbc855887440bfb0b87ca52ed0a865,"https://www.notion.so/pressure-relieving-equipment-f292f850f3c5432592437d1d0c59785d, https://www.notion.so/personal-protective-equipment-PPE-8cec8953b3e741dab94b5086f1422bb9, https://www.notion.so/floatation-device-0ad6f11db9e8423ca27cf7a77a621cd4, https://www.notion.so/fall-protection-equipment-28ad3a88878f4625a6b5b3c99a20071e"
